,FilingDate,TradeDate,Ticker,CompanyName,InsiderName,Title,TradeType,Price,Qty,Owned,DeltaOwn,Value,NumTrades,NumTradesCAT,TradeToFileTime,TradeToFileTimeCAT,%VolumeChange,%VolumeChangeCAT,%FuturePriceChange
1298,2021-06-04,2021-06-02,CNTA,Centessa Pharmaceuticals Plc,Medicxi Ventures Management (Jersey) Ltd,10%,P - Purchase,20.0,600000.0,14182283.0,4.4175194994832605,12000000.0,10,>2,2,>1,-56.21811224489796,<-10%,-4.380201503906389
1299,2021-06-04,2021-06-03,KBLB,"Kraig Biocraft Laboratories, Inc",Thompson Kimberly Kraig,"CEO, CFO, 10%",S - Sale,0.0,-35585.0,204257299.0,-0.01741861943659281,-0.0,1,1,1,1,-47.78228955177261,<-10%,8.333331781129008
1300,2021-06-04,2021-06-02,BURL,"Burlington Stores, Inc.",Hodgson Dennis,EVP CIO,S - Sale+OE,307.99,-7712.0,1918.0,-80.08307372793354,-2375218.88,1,1,2,>1,-6.140904311251314,-10 to 0%,1.215669728317739
1301,2021-06-04,2021-06-02,VLDR,"Velodyne Lidar, Inc.",Hall Marta Thoma,Dir,S - Sale,10.03,-250000.0,64706389.0,-0.3848736111239188,-2507500.0,10,>2,2,>1,-29.864116204073756,<-10%,21.52777869760255
1302,2021-06-04,2021-06-02,PETV,"Petvivo Holdings, Inc.",Deming David Don,Dir,P - Purchase,7.0,800.0,15112.0,5.589714924538849,5600.0,1,1,2,>1,9999,>10%,-33.20610395268901
1303,2021-06-04,2021-06-03,HII,"Huntington Ingalls Industries, Inc.",Wyatt D R,"Corp VP, Treasurer",S - Sale,216.3,-500.0,21432.0,-2.2797738464344337,-108150.0,2,2,1,1,-20.751633986928105,<-10%,-0.6749156355455568
1304,2021-06-04,2021-06-02,ST,Sensata Technologies Holding Plc,Caljouw Lynne J,"SVP, CHRO",S - Sale+OE,59.49,-6467.0,29222.0,-18.120429263918854,-384721.83,2,2,2,>1,16.96969696969697,>10%,-2.2634099401110688
1305,2021-06-04,2021-06-03,JCI,Johnson Controls International Plc,Oliver George,"COB, CEO",S - Sale+OE,66.36,-176754.0,1138633.0,-13.437414236266589,-11729395.44,2,2,1,1,32.56823066628817,>10%,-0.7942550307639626
1306,2021-06-04,2020-06-30,ACI,"Albertsons Companies, Inc.",Morris Susan,"EVP, Chief Operations Officer",P - Purchase,16.0,12500.0,516505.0,2.480134125653515,200000.0,4,>2,339,>1,8.14380044020543,0 to 10%,4.313340783056919
1307,2021-06-04,2021-06-02,EMAN,Emagin Corp,Ginola Ltd,10%,S - Sale,3.66,-13131.0,1568868.0,-0.8300258091187163,-48059.46,3,>2,2,>1,20.557021041653886,>10%,-5.322123875484058
1308,2021-06-04,2020-06-30,ACI,"Albertsons Companies, Inc.",Dimond Robert B,"EVP, CFO",P - Purchase,16.0,1000.0,457508.0,0.219054211536271,16000.0,4,>2,339,>1,8.14380044020543,0 to 10%,4.313340783056919
1309,2021-06-04,2021-06-02,SEER,"Seer, Inc.",Horn David R.,CFO,S - Sale+OE,30.1,-10000.0,230966.0,-4.149963065328719,-301000.0,1,1,2,>1,7.286096256684492,0 to 10%,-5.758209362373949
1310,2021-06-04,2021-06-03,ATAO,Altair International Corp.,"Fourth Street Fund, LP",Owner of 45% of Issuer,S - Sale,0.11,-19100000.0,250593050.0,-7.082125401451761,-2101000.0,1,1,1,1,-60.78003347158553,<-10%,76.19048083652991
1311,2021-06-04,2021-06-02,OPOF,Old Point Financial Corp,Keefe William F,Dir,P - Purchase,22.95,31.0,7931.0,0.3924050632911392,711.4499999999999,1,1,2,>1,366.6666666666667,>10%,1.4163087318095828
1312,2021-06-04,2021-06-02,SGTX,"Sigilon Therapeutics, Inc.",Anderson Daniel Griffith,Dir,S - Sale,10.0,-200000.0,2022222.0,-9.00000090000009,-2000000.0,1,1,2,>1,-0.19704433497536947,-10 to 0%,-5.493483846941129
1313,2021-06-04,2021-05-24,SNCY,"Sun Country Airlines Holdings, Inc.","Sca Horus Holdings, LLC","Dir, 10%",S - Sale,33.12,-7250000.0,33650020.0,-17.726152701147825,-240119999.99999997,2,2,11,>1,-27.54036087369421,<-10%,8.773335774739584
1314,2021-06-04,2021-06-02,DAIO,Data I/o Corp,Ambrose Anthony,Pres,S - Sale,6.17,-24971.0,424129.0,-5.56023157425963,-154071.07,1,1,2,>1,-12.878787878787879,<-10%,-4.8000030517578125
1315,2021-06-04,2021-06-02,MMC,"Marsh & McLennan Companies, Inc.",McDonald Scott,"Pres, CEO of OWG",S - Sale+OE,138.95,-112051.0,18763.0,-85.65673398871681,-15569486.45,1,1,2,>1,-17.595481441635286,<-10%,-1.6180958949410456
1316,2021-06-04,2021-06-02,VRTX,Vertex Pharmaceuticals Inc / Ma,Bhatia Sangeeta N.,Dir,S - Sale,209.69,-559.0,5191.0,-9.721739130434782,-117216.70999999999,1,1,2,>1,10.652113843603205,>10%,3.2582345711998832
1317,2021-06-04,2021-06-02,TPIC,"Tpi Composites, Inc",Hughes James Alton,Dir,S - Sale,45.56,-13636.0,20469.0,-39.982407271661046,-621256.16,1,1,2,>1,-37.6570304222794,<-10%,5.226238730137359
1318,2021-06-04,2021-06-02,LMND,"Lemonade, Inc.",Cutler Joel E,Dir,S - Sale,97.33,-555557.0,1519590.0,-26.77193471113131,-54072362.81,1,1,2,>1,-59.253686427926574,<-10%,9.702663745236006
1319,2021-06-04,2021-06-03,GLW,Corning Inc /ny,Ferguson Roger W. Jr.,Dir,P - Purchase,42.5,1410.0,5518.0,34.32327166504382,59925.0,1,1,1,1,-29.369330453563716,<-10%,-1.8659326794245634
1320,2021-06-04,2021-06-02,EXPR,"Express, Inc.",Moellering Matthew C,"Pres, COO",S - Sale,6.5,-33222.0,684725.0,-4.627361072613995,-215943.0,1,1,2,>1,-68.46382113140581,<-10%,15.789468095878245
1321,2021-06-04,2021-06-02,VLDR,"Velodyne Lidar, Inc.",Hall David S.,10%,S - Sale,10.03,-250000.0,64706389.0,-0.3848736111239188,-2507500.0,10,>2,2,>1,-29.864116204073756,<-10%,21.52777869760255
1322,2021-06-04,2021-06-02,SQ,"Square, Inc.",Ahuja Amrita,CFO,S - Sale+OE,221.46,-3432.0,154811.0,-2.168816314149757,-760050.72,2,2,2,>1,23.881913530052234,>10%,-1.6285252879311827
1323,2021-06-04,2021-06-02,RCEL,"Avita Medical, Inc.",Perry Michael S,CEO,S - Sale,17.33,-23000.0,225104.0,-9.27030600070938,-398589.99999999994,1,1,2,>1,28.445229681978798,>10%,4.974853702410104
1324,2021-06-04,2021-06-02,VLON,"Vallon Pharmaceuticals, Inc.",Kelly Leanne M.,CFO,P - Purchase,4.03,6250.0,6250.0,inf,25187.5,1,1,2,>1,385.80645161290323,>10%,21.58808536638899
1325,2021-06-04,2021-06-04,TIPT,Tiptree Inc.,Ilany Jonathan,CEO,P - Purchase,9.97,1930.0,196282.0,0.993043549847699,19242.100000000002,1,1,0,0,-30.584192439862544,<-10%,2.571713528299838
1326,2021-06-04,2021-06-02,CVET,"Covetrus, Inc.",Finer Dustin,Chief Administrative Officer,S - Sale,27.28,-2322.0,38210.0,-5.728806868646995,-63344.16,1,1,2,>1,-18.540772532188843,<-10%,4.6015696344954815
1327,2021-06-04,2021-06-03,AME,Ametek Inc/,Oscher Ronald J,CHIEF ADMINISTRATIVE OFFICER,S - Sale+OE,136.76,-39650.0,35217.0,-52.96058343462407,-5422534.0,1,1,1,1,-8.653143274853802,-10 to 0%,-1.4451636009280269
1328,2021-06-04,2021-06-02,WW,"Ww International, Inc.",Kossover Amy,Chief Accounting Officer,S - Sale+OE,40.0,-4000.0,12990.0,-23.543260741612713,-160000.0,2,2,2,>1,-25.86433260393873,<-10%,-5.727866287512343
1329,2021-06-04,2021-06-02,EQR,Equity Residential,Neithercut David J,Dir,S - Sale+OE,80.02,-95471.0,62730.0,-60.34791183367994,-7639589.42,2,2,2,>1,21.732262735290245,>10%,2.43408451469824
1330,2021-06-04,2021-06-02,VRA,"Vera Bradley, Inc.",Miller Patricia R.,10%,S - Sale,12.3,-41979.0,3046969.0,-1.359006367216282,-516341.7,2,2,2,>1,-12.532262689991397,<-10%,7.12024995320281
1331,2021-06-04,2021-06-04,FELE,Franklin Electric Co Inc,Davis Delancey W,"Pres, Headwater Companies",S - Sale,82.5,-400.0,14167.0,-2.7459325873549805,-33000.0,2,2,0,0,-52.02057310800882,<-10%,-2.8781302544537186
1332,2021-06-04,2021-06-02,SWCH,"Switch, Inc.",Roy Stella,10%,S - Sale,19.39,-171990.0,102410.0,-62.67857142857143,-3334886.1,2,2,2,>1,-23.329778725673155,<-10%,5.4294193931035135
1333,2021-06-04,2021-06-03,CNMD,Conmed Corp,Hartman Curt R,"Pres, CEO, Chair",S - Sale,132.09,-42347.0,67480.0,-38.557913809901024,-5593615.23,1,1,1,1,-45.37461773700306,<-10%,-1.6389732387267262
1334,2021-06-04,2021-06-02,FTHM,Fathom Holdings Inc.,Fregenal Marco,CFO,S - Sale,32.73,-12172.0,1450676.0,-0.832075512971956,-398389.55999999994,1,1,2,>1,57.2289156626506,>10%,4.147906727831841
1335,2021-06-04,2021-06-03,RGR,Sturm Ruger & Co Inc,Cosentino John A Jr,Dir,S - Sale,80.0,-1400.0,5974.0,-18.98562516951451,-112000.0,4,>2,1,1,-39.88165680473373,<-10%,-1.399219191643885
1336,2021-06-04,2021-06-02,MRAM,Everspin Technologies Inc,Billerbeck Darin G,Interim CEO,S - Sale,6.21,-1524.0,95737.0,-1.566917880753848,-9464.039999999999,1,1,2,>1,-24.185068349106203,<-10%,7.272720107631207
1337,2021-06-04,2021-06-02,SABR,Sabre Corp,Menke Sean E,"Pres, CEO",S - Sale,15.01,-15000.0,1114270.0,-1.328291728284644,-225150.0,1,1,2,>1,-27.31355496774439,<-10%,1.7266239667555985
1338,2021-06-04,2021-06-03,INO,"Inovio Pharmaceuticals, Inc.",Kies Peter,CFO,S - Sale,8.03,-10000.0,155288.0,-6.05004598034945,-80300.0,1,1,1,1,-44.44051929700609,<-10%,26.322413862580937
1339,2021-06-04,2021-06-02,VRA,"Vera Bradley, Inc.",Miller P. Michael,"Dir, 10%",S - Sale,12.3,-41979.0,3046969.0,-1.359006367216282,-516341.7,2,2,2,>1,-12.532262689991397,<-10%,7.12024995320281
1340,2021-06-04,2021-06-02,SQ,"Square, Inc.",Grassadonia Brian,Cash App Lead,S - Sale+OE,221.41,-4506.0,120986.0,-3.5906671341599465,-997673.46,2,2,2,>1,23.881913530052234,>10%,-1.6285252879311827
1341,2021-06-04,2021-06-02,GTIM,Good Times Restaurants Inc.,Lefever Scott,VP of Operations,S - Sale+OE,4.16,-7783.0,19616.0,-28.406146209715683,-32377.280000000002,1,1,2,>1,59.38697318007663,>10%,-3.422985322276619
1342,2021-06-04,2021-06-02,MRNA,"Moderna, Inc.",Hoge Stephen,Pres,S - Sale+OE,186.4,-20000.0,1765646.0,-1.120042830437836,-3728000.0,5,>2,2,>1,19.774114905827275,>10%,6.551171699023562
1343,2021-06-04,2021-06-03,RGR,Sturm Ruger & Co Inc,Dineen Thomas Anthony,"Treasurer, CFO",S - Sale,80.0,-544.0,24657.0,-2.1586444982341972,-43520.0,4,>2,1,1,-39.88165680473373,<-10%,-1.399219191643885
1344,2021-06-07,2021-06-01,EMED,"Electromedical Technologies, Inc",Steinberg Donald J,10%,S - Sale,0.06,-20000.0,3458166.0,-0.5750156835527689,-1200.0,1,1,6,>1,201.35242641209229,>10%,23.188410178875486
1345,2021-06-07,2021-06-03,ATEX,Anterix Inc.,Obrien Morgan E,Exec COB,S - Sale+OE,50.06,-31666.0,78717.0,-28.68738845655581,-1585199.96,1,1,4,>1,131.70254403131116,>10%,1.1595322092153233
1346,2021-06-07,2021-06-04,CLFD,"Clearfield, Inc.",Beranek Cheryl,CEO,S - Sale,40.65,-30000.0,433635.0,-6.47060726649196,-1219500.0,1,1,3,>1,-56.85195376995047,<-10%,-10.932161035333797
1347,2021-06-07,2021-06-04,REGI,"Renewable Energy Group, Inc.",Stroburg Jeffrey,Dir,S - Sale,68.07,-10214.0,210079.0,-4.636552228168848,-695266.98,2,2,3,>1,-18.213695303168297,<-10%,3.2965388076472992
1348,2021-06-07,2021-06-03,BJ,"Bj'S Wholesale Club Holdings, Inc.",Poulliot Brian,"EVP, Enterprise Analytics",S - Sale+OE,47.08,-5000.0,125679.0,-3.8261694686981076,-235400.0,1,1,4,>1,32.83563362609787,>10%,2.332481928923195
1349,2021-06-07,2021-06-07,KRTX,"Karuna Therapeutics, Inc.",Olson Laurie J,Dir,S - Sale+OE,112.93,-4000.0,0.0,-100.0,-451720.0,1,1,0,0,329.0748898678414,>10%,19.42199694448905
1350,2021-06-07,2021-06-03,PGEN,"Precigen, Inc.",Ares Trading S.A.,10%,S - Sale,6.62,-160677.0,24529143.0,-0.6507823872349009,-1063681.74,1,1,4,>1,181.43412107478147,>10%,3.239436931871185
1351,2021-06-07,2021-06-03,FIVN,"Five9, Inc.",Burkland Daniel P.,Pres,S - Sale,161.0,-3499.0,92134.0,-3.658778873401441,-563339.0,1,1,4,>1,-17.930901370391815,<-10%,4.815223323296555
1352,2021-06-07,2021-06-03,CDLX,"Cardlytics, Inc.",Laube Lynne Marie,CEO,S - Sale+OE,101.68,-7314.0,337462.0,-2.1213773580527646,-743687.52,1,1,4,>1,8.994901675163876,0 to 10%,5.784425831011638
1353,2021-06-07,2021-06-03,CYCN,"Cyclerion Therapeutics, Inc.",McGuire Terrance,Dir,P - Purchase,3.12,96153.0,740390.0,14.925097440848631,299997.36,3,>2,4,>1,182.08444790573256,>10%,36.19047085624359
1354,2021-06-07,2021-06-03,HSON,"Hudson Global, Inc.",Eberwein Jeffrey E.,CEO,P - Purchase,18.86,1500.0,230486.0,0.6550618815124069,28290.0,1,1,4,>1,45.714285714285715,>10%,-1.0410988167540667
1355,2021-06-07,2021-06-03,REGI,"Renewable Energy Group, Inc.",Sorrells Christopher D.,Dir,S - Sale,70.0,-5000.0,28835.0,-14.777597162701344,-350000.0,2,2,4,>1,-18.213695303168297,<-10%,3.2965388076472992
1356,2021-06-07,2021-06-07,AI,"C3.Ai, Inc.","Tpg Group Holdings (Sbs) Advisors, Inc.",10%,S - Sale,62.67,-2500000.0,11095656.0,-18.388226357006975,-156675000.0,1,1,0,0,215.15440532041038,>10%,-4.646196065419397
1357,2021-06-07,2021-06-04,SYNA,Synaptics Inc,Awsare Saleel,See Remarks,S - Sale,135.66,-1581.0,34163.0,-4.4231199641897945,-214478.46,1,1,3,>1,-38.357042163270535,<-10%,6.609987226942776
1358,2021-06-07,2021-06-03,RVMD,"Revolution Medicines, Inc.",Exter Neil,Dir,S - Sale,0.0,0.0,39996.0,0.0,0.0,2,2,4,>1,-6.594242259641499,-10 to 0%,8.302003797607604
1359,2021-06-07,2021-06-03,PGNY,"Progyny, Inc.",Schlanger David J,CEO,S - Sale+OE,62.5,-50000.0,0.0,-100.0,-3125000.0,2,2,4,>1,11.215519854501364,>10%,-3.1254794067420124
1360,2021-06-07,2021-06-03,ZM,"Zoom Video Communications, Inc.",Bawa Aparna,COO,S - Sale,321.44,-2593.0,155737.0,-1.6377186888145014,-833493.92,3,>2,4,>1,-19.022640903495155,<-10%,6.928147429130527
1361,2021-06-07,2021-06-03,UCTT,"Ultra Clean Holdings, Inc.",Bentinck Bill,"Pres, Services Business",S - Sale,55.67,-7000.0,61578.0,-10.207355128466855,-389690.0,6,>2,4,>1,-3.7220843672456576,-10 to 0%,-3.4369024843935776
1362,2021-06-07,2021-06-03,ZM,"Zoom Video Communications, Inc.",Swanson Bart,Dir,S - Sale,320.0,-2000.0,21481.0,-8.517524807291002,-640000.0,3,>2,4,>1,-19.022640903495155,<-10%,6.928147429130527
1363,2021-06-07,2021-06-03,UCTT,"Ultra Clean Holdings, Inc.",Edman Thomas T,Dir,S - Sale,55.88,-3700.0,25199.0,-12.803211183777986,-206756.0,6,>2,4,>1,-3.7220843672456576,-10 to 0%,-3.4369024843935776
1364,2021-06-07,2021-06-03,UCTT,"Ultra Clean Holdings, Inc.",Liggett Emily M,Dir,S - Sale,55.33,-3400.0,38499.0,-8.114752142055897,-188122.0,6,>2,4,>1,-3.7220843672456576,-10 to 0%,-3.4369024843935776
1365,2021-06-07,2021-06-04,CRL,"Charles River Laboratories International, Inc.",Knell Michael Gunnar,"CSVP, Chief Accounting Officer",S - Sale+OE,335.24,-1527.0,4230.0,-26.524231370505472,-511911.48000000004,1,1,3,>1,-2.3686359923768037,-10 to 0%,4.435103682990307
1366,2021-06-07,2021-06-03,UCTT,"Ultra Clean Holdings, Inc.",Scherer Barbara Vaughn,Dir,S - Sale,55.91,-3000.0,40899.0,-6.8338686530444885,-167730.0,6,>2,4,>1,-3.7220843672456576,-10 to 0%,-3.4369024843935776
1367,2021-06-07,2021-06-04,ZBRA,Zebra Technologies Corp,Kogl Cristen L,GC,S - Sale+OE,515.47,-526.0,11920.0,-4.226257432106701,-271137.22000000003,2,2,3,>1,-21.465968586387433,<-10%,0.7388717069164537
1368,2021-06-07,2021-06-03,UCTT,"Ultra Clean Holdings, Inc.",Seto Jacqueline A.,Dir,S - Sale,55.62,-1688.0,9568.0,-14.996446339729921,-93886.56,6,>2,4,>1,-3.7220843672456576,-10 to 0%,-3.4369024843935776
1369,2021-06-07,2021-06-03,UCTT,"Ultra Clean Holdings, Inc.",Williams William Joe,"Pres, Products Business",S - Sale,55.88,-7022.0,48751.0,-12.590321481720546,-392389.36000000004,6,>2,4,>1,-3.7220843672456576,-10 to 0%,-3.4369024843935776
1370,2021-06-07,2021-06-03,TW,Tradeweb Markets Inc.,Hult William,Pres,S - Sale+OE,82.1,-100000.0,400858.0,-19.96573879223253,-8209999.999999999,1,1,4,>1,58.08405906853464,>10%,4.247955877266808
1371,2021-06-07,2021-06-03,ZBRA,Zebra Technologies Corp,Smith Michael A,Dir,S - Sale,507.0,-1500.0,12992.0,-10.350538227987855,-760500.0,2,2,4,>1,-21.465968586387433,<-10%,0.7388717069164537
1372,2021-06-07,2021-06-03,RVMD,"Revolution Medicines, Inc.","Third Rock Ventures Ii, L.P.",10%,S - Sale,30.21,-543113.0,5911804.0,-8.413942425595867,-16407443.73,2,2,4,>1,-6.594242259641499,-10 to 0%,8.302003797607604
1373,2021-06-07,2021-06-03,ZM,"Zoom Video Communications, Inc.",Steckelberg Kelly,CFO,S - Sale+OE,321.53,-6700.0,1388.0,-82.83877349159248,-2154251.0,3,>2,4,>1,-19.022640903495155,<-10%,6.928147429130527
1374,2021-06-07,2021-06-04,REPX,"Riley Exploration Permian, Inc.",Riley Bobby,CEO,S - Sale,35.14,-3000.0,282173.0,-1.0519930007399017,-105420.0,1,1,3,>1,586.3874345549738,>10%,12.617389435318238
1375,2021-06-07,2021-06-04,BFAM,Bright Horizons Family Solutions Inc.,Boland Elizabeth J,CFO,S - Sale,140.79,-824.0,102297.0,-0.7990612969230322,-116010.95999999999,1,1,3,>1,35.93818023508925,>10%,2.5109212479460643
1376,2021-06-07,2021-06-04,QUOT,Quotient Technology Inc.,Wyatt Christy,Dir,S - Sale,11.34,-11364.0,53640.0,-17.482001107624146,-128867.76,1,1,3,>1,93.94501081248069,>10%,-3.330412966895047
1377,2021-06-07,2021-06-03,ELMD,"Electromed, Inc.",Maccourt Michael Joseph,CFO,P - Purchase,10.57,2000.0,17000.0,13.333333333333334,21140.0,1,1,4,>1,-43.121881682109766,<-10%,5.497629509195816
1378,2021-06-07,2021-06-04,JNPR,Juniper Networks Inc,Leelanivas Manoj,EVP Chief Product Officer,S - Sale,27.5,-34710.0,75934.0,-31.370883192943133,-954525.0,1,1,3,>1,15.081434065508608,>10%,3.4322524683185427
1379,2021-06-07,2021-06-04,WTBA,West Bancorporation Inc,Gulling Douglas R,"EVP, TREASURER, CFO",S - Sale,29.26,-5000.0,107460.0,-4.446025253423439,-146300.0,1,1,3,>1,-18.75,<-10%,-5.12734811937599
1380,2021-06-07,2021-06-03,NDAQ,"Nasdaq, Inc.",Griggs Pc Nelson,EVP,S - Sale,167.89,-1000.0,24045.0,-3.992812936713915,-167890.0,1,1,4,>1,2.6506449902809686,0 to 10%,3.7063341659943516
1381,2021-06-07,2021-06-03,UFI,Unifi Inc,Bishop Robert J,Dir,S - Sale,25.73,-40000.0,1575942.0,-2.4753363672706077,-1029200.0,1,1,4,>1,29.647058823529413,>10%,-0.8000030517578125
1382,2021-06-07,2021-06-03,CTSH,Cognizant Technology Solutions Corp,Frank Malcolm,"Pres, Digital Business",S - Sale,70.84,-1031.0,45178.0,-2.231167088662382,-73036.04000000001,1,1,4,>1,13.4913692558899,>10%,-0.7152904830316067
1383,2021-06-07,2021-06-07,FSEA,First Seacoast Bancorp,Donovan Richard M,"SVP, CFO",P - Purchase,9.7,1000.0,14413.0,7.455453664355476,9700.0,1,1,0,0,9999,>10%,-1.0309219563065746
1384,2021-06-07,2021-06-03,ABML,American Battery Metals Corp,Cole Douglas,CEO,S - Sale,2.11,-400000.0,16364717.0,-2.385963330010283,-844000.0,1,1,4,>1,-22.021919879062736,<-10%,15.789482089801673
1385,2021-06-07,2021-06-04,DFIN,"Donnelley Financial Solutions, Inc.",Johnson Eric J,"Pres, GIC",S - Sale+OE,30.83,-15225.0,81843.0,-15.684880702188156,-469386.75,1,1,3,>1,-18.271604938271604,<-10%,-1.3253394421453741
1386,2021-06-07,2021-06-03,TAIT,Taitron Components Inc,Vanderhorst David,CFO,S - Sale+OE,6.06,-15100.0,30000.0,-33.48115299334812,-91506.0,1,1,4,>1,-57.68247656915649,<-10%,-5.705231961631762
1387,2021-06-07,2021-06-03,NLTX,"Neoleukin Therapeutics, Inc.",Drachman Jonathan G,"Pres, CEO",P - Purchase,9.51,50000.0,2248686.0,2.2740855219890426,475500.0,2,2,4,>1,147.73697694278394,>10%,6.824931330258748
1388,2021-06-07,2021-06-03,BLI,"Berkeley Lights, Inc.",Lucier Gregory T,Dir,P - Purchase,41.12,5000.0,253619.0,2.0111093681496586,205600.0,1,1,4,>1,106.37535816618912,>10%,12.8062901767838
1389,2021-06-07,2021-06-04,NLTX,"Neoleukin Therapeutics, Inc.",Walkey Carl,SVP,S - Sale,10.0,-600.0,1354339.0,-0.044282436331082066,-6000.0,2,2,3,>1,147.73697694278394,>10%,6.824931330258748
1390,2021-06-07,2021-06-03,MBWM,Mercantile Bank Corp,Worthington Robert T.,"COO, SECRETARY, SVP,, GC",P - Purchase,32.56,3431.0,30784.0,12.54341388513143,111713.36,1,1,4,>1,50.259067357512954,>10%,-3.077875825446319
1391,2021-06-07,2021-06-04,HSKA,Heska Corp,Wisnewski Nancy,COO,S - Sale,197.87,-5000.0,55505.0,-8.263779852904719,-989350.0,1,1,3,>1,-65.92379583033788,<-10%,11.580449165121937
1392,2021-06-07,2021-06-04,HVBC,"Hv Bancorp, Inc.",Marino Robert Joseph,Dir,P - Purchase,20.87,100.0,75309.0,0.13296281030195853,2087.0,1,1,3,>1,44.44444444444444,>10%,4.742879795427106
1393,2021-06-07,2021-06-03,LOV,Spark Networks Se,Canaan VIII LP,10%,S - Sale,5.61,-29950.0,2793002.0,-1.0609461301502825,-168019.5,1,1,4,>1,-29.62406015037594,<-10%,-5.734761634399546
1394,2021-06-07,2021-06-07,AMC,"Amc Entertainment Holdings, Inc.",Koch Howard Winchel Jr,Dir,S - Sale,55.34,-14277.0,31101.0,-31.46238265238662,-790089.18,1,1,0,0,3.3711754549242086,0 to 10%,-22.16363386674361
1395,2021-06-07,2020-12-17,LRN,"Stride, Inc.",Chavous Kevin,"Pres, Acad. Pol., Ext. Aff.",S - Sale,22.86,-22776.0,45200.0,-33.50594327409674,-520659.36,1,1,172,>1,-16.427758816837315,<-10%,3.997267024242942
1396,2021-06-07,2021-06-03,CYCN,"Cyclerion Therapeutics, Inc.",Hecht Peter M,CEO,P - Purchase,3.28,823170.0,2049153.0,67.14367164960689,2699997.5999999996,3,>2,4,>1,182.08444790573256,>10%,36.19047085624359
1397,2021-06-07,2021-06-03,FLGT,"Fulgent Genetics, Inc.",Bolger John C,Dir,S - Sale,74.17,-125.0,2000.0,-5.882352941176471,-9271.25,1,1,4,>1,28.197424892703864,>10%,-8.273388205289569
1398,2021-06-07,2021-06-03,TPIC,"Tpi Composites, Inc",Gopalakrishnan Ramesh,COO - Wind,S - Sale,45.25,-6392.0,5125.0,-55.50056438308587,-289238.0,1,1,4,>1,52.63413449866472,>10%,4.469896323692654
1399,2021-06-07,2021-06-03,LYB,Lyondellbasell Industries N.V.,Patel Bhavesh V.,CEO,S - Sale+OE,118.0,-1406.0,394875.0,-0.35479874129721084,-165908.0,1,1,4,>1,15.102704300280774,>10%,-3.6747797660824735
1400,2021-06-07,2021-06-04,ES,Eversource Energy,Butler Gregory B,"EVP, GC",S - Sale+OE,82.16,-12000.0,74342.0,-13.898218711635126,-985920.0,1,1,3,>1,-39.68339872818292,<-10%,1.2300598328130306
1401,2021-06-07,2021-06-04,SRLP,Sprague Resources LP,Bowman Beth A.,Dir,S - Sale,26.5,-2231.0,17294.0,-11.426376440460947,-59121.5,2,2,3,>1,50.0,>10%,1.9665001221092138
1402,2021-06-07,2021-06-03,TWLO,Twilio Inc,Rottenberg Erika,Dir,S - Sale+OE,328.42,-1500.0,8932.0,-14.378834355828221,-492630.0,2,2,4,>1,-6.233638743455497,-10 to 0%,9.077330315341527
1403,2021-06-07,2021-06-04,MLAB,Mesa Laboratories Inc /co/,Kelly David M,Dir,S - Sale+OE,260.28,-851.0,2600.0,-24.659518980005796,-221498.27999999997,2,2,3,>1,46.012269938650306,>10%,1.652189207570179
1404,2021-06-07,2021-06-04,CVNA,Carvana Co.,Garcia Ernest C. II,10%,S - Sale+OE,275.74,-50000.0,74549802.0,-0.06702430657925874,-13787000.0,2,2,3,>1,48.55156431054461,>10%,-5.481506522539224
1405,2021-06-07,2021-06-03,APO,"Apollo Global Management, Inc.",Harris Joshua,"Co-Founder, 10%",S - Sale+OE,57.44,-593880.0,1350000.0,-30.551268596826965,-34112467.199999996,1,1,4,>1,2.5500910746812386,0 to 10%,-0.9352284375300397
1406,2021-06-07,2021-06-03,META,Facebook Inc,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,325.75,-52700.0,2155846.0,-2.386185300192978,-17167025.0,2,2,4,>1,51.52452330428763,>10%,-1.880678241368502
1407,2021-06-07,2021-06-03,HCAT,"Health Catalyst, Inc.",Burton Daniel D.,CEO,S - Sale+OE,52.92,-171372.0,283192.0,-37.70030182768543,-9069006.24,4,>2,4,>1,127.60340275740687,>10%,4.639540384805198
1408,2021-06-07,2021-06-03,HCAT,"Health Catalyst, Inc.",Orenstein Daniel H.,GC,S - Sale+OE,52.81,-3872.0,78046.0,-4.726677897409605,-204480.32,4,>2,4,>1,127.60340275740687,>10%,4.639540384805198
1409,2021-06-07,2021-06-03,HCAT,"Health Catalyst, Inc.",Llewelyn Linda,Chief People Officer,S - Sale+OE,52.77,-3186.0,39371.0,-7.486429964518176,-168125.22,4,>2,4,>1,127.60340275740687,>10%,4.639540384805198
1410,2021-06-07,2021-06-03,HCAT,"Health Catalyst, Inc.",Alger Jason,Chief Accounting Officer,S - Sale,52.75,-665.0,16250.0,-3.9314218149571385,-35078.75,4,>2,4,>1,127.60340275740687,>10%,4.639540384805198
1411,2021-06-07,2021-06-04,META,Facebook Inc,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,330.13,-77300.0,2140846.0,-3.484892338015622,-25519049.0,2,2,3,>1,51.52452330428763,>10%,-1.880678241368502
1412,2021-06-07,2021-06-03,TLRY,"Tilray, Inc.",Meiers James R.,Head of Canada,S - Sale,19.64,-23826.0,0.0,-100.0,-467942.64,1,1,4,>1,-4.0436607237403095,-10 to 0%,8.671404925776377
