X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,Qty2,Value2
D,2021-06-09 20:03:11,2021-06-07,FSLY,"Fastly, Inc.",Bergman Artur,"Chief Architect, Exec. Chair",S - Sale+OE,$49.94,"-14,423","299,521",-5%,"-$720,235",#N/A,#N/A
,2021-06-09 19:59:29,2021-06-07,AI,"C3.Ai, Inc.",House Patricia A,Dir,S - Sale,$60.75,"-72,148","407,485",-15%,"-$4,383,296",#N/A,#N/A
M,2021-06-09 19:58:38,2021-06-07,AI,"C3.Ai, Inc.",Levin Richard C,Dir,S - Sale,$61.20,"-55,540","276,664",-17%,"-$3,399,061",#N/A,#N/A
DM,2021-06-09 19:57:40,2021-06-07,AI,"C3.Ai, Inc.",Siebel Thomas M,"CEO, 10%",S - Sale+OE,$62.42,"-1,294,356","11,190,826",-10%,"-$80,791,078",#N/A,#N/A
D,2021-06-09 19:57:07,2021-06-07,ABNB,"Airbnb, Inc.",Bernstein David C,Chief Accounting Officer,S - Sale+OE,$149.12,"-5,032","77,422",-6%,"-$750,347",#N/A,#N/A
,2021-06-09 19:45:57,2021-06-09,WMPN,William Penn Bancorporation,Hannigan Amy Jean,"EVP, Dir. Corp. Development",P - Purchase,$11.34,#ERROR!,"15,000",50%,#ERROR!,5000,56709
,2021-06-09 19:44:38,2021-06-08,WLMS,Williams Industrial Services Group Inc.,Mills Robert B,Dir,P - Purchase,$5.78,#ERROR!,"352,814",11%,#ERROR!,35000,202258
,2021-06-09 19:42:09,2021-06-08,ALK,"Alaska Air Group, Inc.",Knight Jessie J Jr,Dir,P - Purchase,$66.26,#ERROR!,"4,987",32%,#ERROR!,1200,79511
,2021-06-09 19:39:29,2021-06-08,VLDR,"Velodyne Lidar, Inc.",Hall David S.,10%,S - Sale,$12.50,"-26,146","64,680,243",0%,"-$326,825",#N/A,#N/A
D,2021-06-09 19:39:21,2021-06-09,RDFN,Redfin Corp,Tobaccowala Selina,Dir,S - Sale+OE,$63.25,"-2,000","95,154",-2%,"-$126,500",#N/A,#N/A
D,2021-06-09 19:38:38,2021-06-07,ANET,"Arista Networks, Inc.",Ullal Jayshree,"Pres, CEO",S - Sale+OE,$350.52,"-1,375","3,206,656",0%,"-$481,965",#N/A,#N/A
D,2021-06-09 19:37:18,2021-06-08,RDFN,Redfin Corp,Frey Bridget,CTO,S - Sale+OE,$60.17,"-14,000","150,221",-9%,"-$842,374",#N/A,#N/A
D,2021-06-09 19:36:00,2021-06-07,RDFN,Redfin Corp,Nielsen Christopher John,CFO,S - Sale+OE,$56.97,"-4,500","23,977",-16%,"-$256,378",#N/A,#N/A
M,2021-06-09 19:35:49,2021-06-07,NFE,New Fortress Energy Inc.,Nfe Smrs Holdings LLC,10%,S - Sale,$41.19,"-281,423","33,910,985",-1%,"-$11,590,406",#N/A,#N/A
D,2021-06-09 19:34:09,2021-06-08,TCF,Tcf Financial Corp,Shafer Thomas C,"COO, Exec Vice COB",S - Sale+OE,$46.16,"-66,969",0,-100%,"-$3,091,570",#N/A,#N/A
D,2021-06-09 19:31:07,2021-06-07,FOLD,"Amicus Therapeutics, Inc.",Crowley John F,"COB, CEO",S - Sale+OE,$10.01,"-29,500","942,125",-3%,"-$295,192",#N/A,#N/A
D,2021-06-09 19:30:08,2021-06-07,FOLD,"Amicus Therapeutics, Inc.",Campbell Bradley L,COO,S - Sale+OE,$10.01,"-10,514","457,268",-2%,"-$105,207",#N/A,#N/A
,2021-06-09 19:27:12,2021-06-08,DOCU,"Docusign, Inc.",Solvik Peter,Dir,S - Sale,$241.15,"-17,500","250,014",-7%,"-$4,220,137",#N/A,#N/A
DM,2021-06-09 19:22:54,2021-06-07,RVLV,"Revolve Group, Inc.",Mente Michael,"CO-CEO, 10%",S - Sale+OE,$55.37,"-258,886","73,000",-78%,"-$14,335,772",#N/A,#N/A
DM,2021-06-09 19:22:51,2021-06-07,OCGN,"Ocugen, Inc.",Musunuri Shankar,CEO,S - Sale+OE,$10.97,"-30,558","1,781,299",-2%,"-$335,217",#N/A,#N/A
DM,2021-06-09 19:21:56,2021-06-07,RVLV,"Revolve Group, Inc.",Karanikolas Michael,"CO-CEO, 10%",S - Sale+OE,$55.37,"-258,886","123,000",-68%,"-$14,335,772",#N/A,#N/A
,2021-06-09 19:21:26,2021-06-07,OCGN,"Ocugen, Inc.",Castillo Kirsten,Dir,S - Sale,$10.00,"-10,000","65,000",-13%,"-$100,000",#N/A,#N/A
DM,2021-06-09 19:20:55,2021-06-07,RVLV,"Revolve Group, Inc.","Mmmk Development, Inc.",10%,S - Sale+OE,$55.37,"-258,886",0,-100%,"-$14,335,772",#N/A,#N/A
M,2021-06-09 19:20:06,2021-06-07,PSMT,Pricesmart Inc,Price Robert E,"Dir, 10%",S - Sale,$91.49,"-20,000","2,567,299",-1%,"-$1,829,783",#N/A,#N/A
,2021-06-09 19:19:16,2021-06-07,UNAM,Unico American Corp,Ambina Partners LLC,10%,S - Sale,$4.61,"-4,874","581,878",-1%,"-$22,479",#N/A,#N/A
M,2021-06-09 19:18:36,2021-06-07,PSMT,Pricesmart Inc,Price Philanthropies Foundation,10%,S - Sale,$91.49,"-20,000","3,885,055",-1%,"-$1,829,783",#N/A,#N/A
,2021-06-09 19:17:01,2021-06-08,LULU,Lululemon Athletica Inc.,Morfitt Martha A M,Dir,P - Purchase,$330.00,#ERROR!,"90,154",6%,#ERROR!,4800,1584000
,2021-06-09 19:16:51,2021-06-07,VERX,"Vertex, Inc.",Andersen Eric C.,Dir,S - Sale,$18.35,"-21,317","88,494",-19%,"-$391,094",#N/A,#N/A
,2021-06-09 19:15:09,2021-06-07,LULU,Lululemon Athletica Inc.,Henry Kathryn,Dir,S - Sale,$331.89,-313,"4,339",-7%,"-$103,882",#N/A,#N/A
,2021-06-09 19:13:22,2021-06-07,CRC,California Resources Corp,Ares Management LLC,10%,S - Sale,$32.95,"-100,000","16,484,587",-1%,"-$3,295,000",#N/A,#N/A
,2021-06-09 19:12:32,2021-06-07,CRC,California Resources Corp,Ares Management LLC,10%,S - Sale,$32.95,"-100,000","16,484,587",-1%,"-$3,295,000",#N/A,#N/A
,2021-06-09 19:05:57,2021-06-07,BIIB,Biogen Inc.,Sandrock Alfred,"Head of Research, Development",S - Sale,$440.00,"-7,672","10,169",-43%,"-$3,375,680",#N/A,#N/A
,2021-06-09 19:04:54,2021-06-07,BIIB,Biogen Inc.,Guindo Chirfi,"Head of Glob Prod Strat, Com",S - Sale,$440.00,"-3,087","2,919",-51%,"-$1,358,280",#N/A,#N/A
DM,2021-06-09 19:04:11,2021-06-07,DLR,"Digital Realty Trust, Inc.",Stein A William,CEO,S - Sale+OE,$159.74,"-125,000",0,-100%,"-$19,968,013",#N/A,#N/A
D,2021-06-09 19:02:56,2021-06-08,CRM,"Salesforce.Com, Inc.",Harris Parker,"Co-Founder, CTO",S - Sale+OE,$237.73,"-5,300","1,971,082",0%,"-$1,259,960",#N/A,#N/A
,2021-06-09 19:02:43,2021-06-09,FEYE,"Fireeye, Inc.",Coviello Arthur W Jr,Dir,P - Purchase,$20.18,#ERROR!,"38,922",35%,#ERROR!,10000,201800
,2021-06-09 19:00:43,2021-06-09,SONN,"Sonnet Biotherapeutics Holdings, Inc.",Kenney Richard T,Chief Medical Officer,P - Purchase,$1.54,#ERROR!,"50,000",43%,#ERROR!,15000,23100
D,2021-06-09 18:59:31,2021-06-07,BOH,Bank of Hawaii Corp,Sellers Mary E,"Vice Chair, CRO",S - Sale+OE,$88.71,"-5,000","97,289",-5%,"-$443,550",#N/A,#N/A
,2021-06-09 18:59:29,2021-06-09,SONN,"Sonnet Biotherapeutics Holdings, Inc.",Mohan Pankaj,"COB, Pres, CEO",P - Purchase,$1.55,#ERROR!,"1,292,963",3%,#ERROR!,32000,49580
,2021-06-09 18:51:22,2021-06-07,YMAB,"Y-Mabs Therapeutics, Inc.",Wg Biotech Aps,10%,S - Sale,$34.15,"-72,400","4,339,694",-2%,"-$2,472,583",#N/A,#N/A
,2021-06-09 18:49:27,2021-06-07,YMAB,"Y-Mabs Therapeutics, Inc.",Wedell-Wedellsborg Johan,Dir,S - Sale,$34.15,"-72,400","4,339,694",-2%,"-$2,472,583",#N/A,#N/A
AD,2021-06-09 18:42:07,2021-06-03,TWLO,Twilio Inc,Rottenberg Erika,Dir,S - Sale+OE,$328.42,"-1,500","7,432",-17%,"-$492,630",#N/A,#N/A
D,2021-06-09 18:40:18,2021-06-07,RBLX,Roblox Corp,Reinstra Mark,"Gen. Counsel, Secretary",S - Sale+OE,$100.00,"-5,000","341,146",-1%,"-$500,000",#N/A,#N/A
DM,2021-06-09 18:37:42,2021-06-07,GOOG,Alphabet Inc.,Page Lawrence,"Dir, 10%",S - Sale+OE,"$2,452.52","-13,889","19,930,280",0%,"-$34,063,082",#N/A,#N/A
,2021-06-09 18:37:33,2021-06-08,MGM,Mgm Resorts International,Hornbuckle William,"CEO, Pres",S - Sale,$44.00,"-20,000","332,632",-6%,"-$880,000",#N/A,#N/A
D,2021-06-09 18:34:12,2021-06-07,GOOG,Alphabet Inc.,Page Lawrence,"Dir, 10%",S - Sale+OE,"$2,392.01","-13,889",0,-100%,"-$33,222,583",#N/A,#N/A
,2021-06-09 18:28:14,2021-06-07,GDYN,"Grid Dynamics Holdings, Inc.",Klimoff Stan,VP of Corporate Development,S - Sale,$15.75,"-7,000","303,225",-2%,"-$110,242",#N/A,#N/A
M,2021-06-09 18:26:45,2021-06-07,SWTX,"Springworks Therapeutics, Inc.",Orbimed Advisors LLC,10%,S - Sale,$85.36,"-48,053","6,138,254",-1%,"-$4,101,908",#N/A,#N/A
D,2021-06-09 18:24:28,2021-06-07,PRLD,Prelude Therapeutics Inc,Mauro David J,Chief Medical Officer,S - Sale+OE,$32.44,"-15,000",0,-100%,"-$486,622",#N/A,#N/A
,2021-06-09 18:23:37,2021-06-09,PETQ,"Petiq, Inc.",Kennedy Ronald,Dir,S - Sale,$38.71,"-10,000","118,254",-8%,"-$387,100",#N/A,#N/A
,2021-06-09 18:19:31,2021-06-09,AMC,"Amc Entertainment Holdings, Inc.",Lader Philip,Dir,S - Sale,$49.54,"-14,246","17,722",-45%,"-$705,686",#N/A,#N/A
M,2021-06-09 18:19:19,2021-06-07,EMMA,"Emmaus Life Sciences, Inc.",Niihara Yutaka,"COB, CEO, 10%",P - Purchase,$1.59,#ERROR!,"10,913,709",0%,#ERROR!,1500,2385
M,2021-06-09 18:18:58,2021-06-08,LOV,Spark Networks Se,Canaan VIII LP,10%,S - Sale,$5.33,"-20,939","2,772,063",-1%,"-$111,656",#N/A,#N/A
M,2021-06-09 18:17:06,2021-06-07,PMVP,"Pmv Pharmaceuticals, Inc.",Euclidean Capital LLC,10%,S - Sale,$33.50,"-62,445","130,686",-32%,"-$2,091,787",#N/A,#N/A
D,2021-06-09 18:13:23,2021-06-08,FFWM,First Foundation Inc.,Hakopian John,"Pres, FFA",S - Sale+OE,$25.20,"-8,807","840,528",-1%,"-$221,950",#N/A,#N/A
D,2021-06-09 18:12:54,2021-06-07,IDYA,"Ideaya Biosciences, Inc.",Dillon Michael P.,"SVP, Chief Scientific Officer",S - Sale+OE,$20.22,"-1,500","98,789",-1%,"-$30,333",#N/A,#N/A
,2021-06-09 18:10:08,2021-06-08,AAP,Advance Auto Parts Inc,Schechtman Natalie,EVP HR,S - Sale,$197.58,"-3,200","5,545",-37%,"-$632,256",#N/A,#N/A
M,2021-06-09 18:09:23,2021-06-07,GRWG,Growgeneration Corp.,Aiello Stephen,Dir,S - Sale,$44.05,"-100,000","499,251",-17%,"-$4,405,205",#N/A,#N/A
D,2021-06-09 18:09:00,2021-06-08,FCF,First Commonwealth Financial Corp /pa/,Montgomery Norman J,EVP-Business Integration Group,S - Sale+OE,$15.22,"-20,000","56,137",-26%,"-$304,400",#N/A,#N/A
,2021-06-09 18:07:34,2021-06-09,AMC,"Amc Entertainment Holdings, Inc.",Sussman Adam Jay,Dir,S - Sale,$52.19,"-13,677","17,722",-44%,"-$713,803",#N/A,#N/A
M,2021-06-09 18:06:37,2021-06-07,RCL,Royal Caribbean Cruises Ltd,Wilhelmsen Arne Alexander,Dir,S - Sale,$94.97,"-721,614","22,499,407",-3%,"-$68,528,135",#N/A,#N/A
D,2021-06-09 18:06:35,2021-06-09,NARI,"Inari Medical, Inc.","Hill, Mitch C.",CFO,S - Sale+OE,$90.43,"-5,000","69,537",-7%,"-$452,161",#N/A,#N/A
M,2021-06-09 18:01:41,2021-06-07,CONN,Conns Inc,Martin Douglas H,"Dir, 10%",S - Sale,$29.13,"-16,000","196,943",-8%,"-$466,108",#N/A,#N/A
M,2021-06-09 18:00:35,2021-06-07,PGEN,"Precigen, Inc.",Ares Trading S.A.,10%,S - Sale,$7.07,"-429,489","24,099,654",-2%,"-$3,034,855",#N/A,#N/A
D,2021-06-09 17:59:44,2021-06-08,PSA,Public Storage,Vitan Nathaniel A.,"SVP, Ch. Legal Officer, Sec.",S - Sale+OE,$293.10,"-4,000","8,663",-32%,"-$1,172,400",#N/A,#N/A
,2021-06-09 17:59:42,2021-06-07,KDP,Keurig Dr Pepper Inc.,"Mondelez International, Inc.",Dir,S - Sale,$35.62,"-28,000,000","90,218,223",-24%,"-$997,360,000",#N/A,#N/A
DM,2021-06-09 17:56:56,2021-06-07,DYAI,Dyadic International Inc,Emalfarb Mark A,"Pres, CEO, 10%",S - Sale+OE,$3.86,"-97,000","12,827,751",-1%,"-$373,960",#N/A,#N/A
,2021-06-09 17:56:11,2021-06-08,ROK,"Rockwell Automation, Inc",Nicolas Ernest,"SVP,Chief Supply Chain Officer",S - Sale,$276.29,-319,"5,543",-5%,"-$88,138",#N/A,#N/A
,2021-06-09 17:55:58,2021-06-07,SYNH,"Syneos Health, Inc.",Maldonado John L.,Dir,S - Sale,$81.20,"-6,307,489",0,-100%,"-$512,168,107",#N/A,#N/A
D,2021-06-09 17:54:56,2021-06-07,GOOG,Alphabet Inc.,Brin Sergey,"Dir, 10%",S - Sale+OE,"$2,452.56","-13,889","19,172,979",0%,"-$34,063,622",#N/A,#N/A
DM,2021-06-09 17:54:17,2021-06-07,KYMR,"Kymera Therapeutics, Inc.",Mainolfi Nello,CEO,S - Sale+OE,$50.10,"-18,746","412,199",-4%,"-$939,261",#N/A,#N/A
,2021-06-09 17:51:52,2021-06-07,SYNH,"Syneos Health, Inc.",Allen Tom,Dir,S - Sale,$81.20,"-6,307,489",0,-100%,"-$512,168,107",#N/A,#N/A
D,2021-06-09 17:50:49,2021-06-07,GOOG,Alphabet Inc.,Brin Sergey,"Dir, 10%",S - Sale+OE,"$2,392.05","-13,889","19,186,868",0%,"-$33,223,152",#N/A,#N/A
,2021-06-09 17:48:44,2021-06-08,ZUMZ,Zumiez Inc,Visser Chris K.,"GC, Sec.",S - Sale,$49.53,"-1,851","10,023",-16%,"-$91,680",#N/A,#N/A
DM,2021-06-09 17:48:37,2021-06-07,CYRX,"Cryoport, Inc.",Hancock Daniel M,Dir,S - Sale+OE,$60.63,"-20,000","4,627",-81%,"-$1,212,518",#N/A,#N/A
D,2021-06-09 17:41:29,2021-06-07,GRUB,Grubhub Inc.,Dewitt Adam,"Pres, CFO, Treasurer",S - Sale+OE,$59.96,"-6,000","40,605",-13%,"-$359,760",#N/A,#N/A
,2021-06-09 17:41:17,2021-06-07,SYNH,"Syneos Health, Inc.",Advent International Corp/ma,10%,S - Sale,$81.20,"-6,307,489",0,-100%,"-$512,168,107",#N/A,#N/A
,2021-06-09 17:40:44,2021-06-07,SYNH,"Syneos Health, Inc.",Advent International Corp/ma,10%,S - Sale,$81.20,"-6,307,489",0,-100%,"-$512,168,107",#N/A,#N/A
,2021-06-09 17:40:10,2021-06-07,GPRE,Green Plains Inc.,Peterson Brian,Dir,S - Sale,$32.48,"-35,000","74,887",-32%,"-$1,136,821",#N/A,#N/A
,2021-06-09 17:40:09,2021-06-07,SYNH,"Syneos Health, Inc.",Advent International Corp/ma,10%,S - Sale,$81.20,"-6,307,489",0,-100%,"-$512,168,107",#N/A,#N/A
M,2021-06-09 17:39:40,2021-06-07,AYX,"Alteryx, Inc.",Stoecker Dean,"Dir, 10%",S - Sale,$77.39,"-15,000","131,496",-10%,"-$1,160,774",#N/A,#N/A
,2021-06-09 17:39:30,2021-06-07,SYNH,"Syneos Health, Inc.",Advent International Corp/ma,10%,S - Sale,$81.20,"-6,307,489",0,-100%,"-$512,168,107",#N/A,#N/A
,2021-06-09 17:38:59,2021-06-07,SYNH,"Syneos Health, Inc.",Advent International Corp/ma,10%,S - Sale,$81.20,"-6,307,489",0,-100%,"-$512,168,107",#N/A,#N/A
,2021-06-09 17:38:53,2021-06-08,AMC,"Amc Entertainment Holdings, Inc.",Koch Howard Winchel Jr,Dir,S - Sale,$55.34,"-15,379","17,722",-46%,"-$851,115",#N/A,#N/A
M,2021-06-09 17:38:35,2021-06-07,MGTX,Meiragtx Holdings Plc,Forbes Alexandria,"Pres, CEO",S - Sale,$15.02,"-30,000","2,611,562",-1%,"-$450,740",#N/A,#N/A
M,2021-06-09 17:38:21,2021-06-07,MGTX,Meiragtx Holdings Plc,Naylor Stuart,Chief Development Officer,S - Sale,$15.01,"-6,082","426,017",-1%,"-$91,301",#N/A,#N/A
,2021-06-09 17:38:19,2021-06-07,SYNH,"Syneos Health, Inc.",Advent International Corp/ma,10%,S - Sale,$81.20,"-6,307,489",0,-100%,"-$512,168,107",#N/A,#N/A
,2021-06-09 17:36:46,2021-06-08,SGRY,"Surgery Partners, Inc.",Deluca Teresa,Dir,S - Sale,$63.05,"-2,633","28,508",-8%,"-$166,011",#N/A,#N/A
DM,2021-06-09 17:33:11,2021-06-07,GSHD,"Goosehead Insurance, Inc.",Mark & Robyn Jones Descendants Trust 2014,"Member of 10% owner group, 10%",S - Sale+OE,$93.65,"-58,891","13,154,080",0%,"-$5,515,157",#N/A,#N/A
,2021-06-09 17:31:35,2021-06-08,BRST,"Broad Street Realty, Inc.",Neal Daniel J W,Dir,P - Purchase,$1.85,#ERROR!,"803,224",0%,#ERROR!,2000,3700
,2021-06-09 17:30:39,2021-06-08,AMC,"Amc Entertainment Holdings, Inc.",Pawlus Kathleen M,Dir,S - Sale,$55.54,"-15,379","17,722",-46%,"-$854,113",#N/A,#N/A
M,2021-06-09 17:25:59,2021-06-08,BRST,"Broad Street Realty, Inc.",Jacoby Michael Z,CEO,P - Purchase,$2.46,#ERROR!,"2,369,050",0%,#ERROR!,2100,5175
D,2021-06-09 17:25:46,2021-06-07,DEA,"Easterly Government Properties, Inc.",Crate Darrell W,COB,S - Sale+OE,$21.50,"-3,000","11,029",-21%,"-$64,500",#N/A,#N/A
,2021-06-09 17:25:00,2021-06-07,SYNH,"Syneos Health, Inc.","Thomas H. Lee Advisors, LLC",Dir,S - Sale,$81.20,"-5,044,187",0,-100%,"-$409,587,984",#N/A,#N/A
,2021-06-09 17:23:27,2021-06-08,MCK,McKesson Corp,Rodgers Thomas L,"EVP, Chief Strategy, BDO",S - Sale,$192.85,-198,"1,161",-15%,"-$38,184",#N/A,#N/A
D,2021-06-09 17:23:14,2021-06-07,DEA,"Easterly Government Properties, Inc.",Trimble William C.,"Pres, CEO",S - Sale+OE,$21.51,"-9,000","91,279",-9%,"-$193,590",#N/A,#N/A
,2021-06-09 17:22:16,2021-06-08,NLTX,"Neoleukin Therapeutics, Inc.",Walkey Carl,SVP,S - Sale,$11.00,-600,"1,353,739",0%,"-$6,600",#N/A,#N/A
M,2021-06-09 17:19:25,2021-06-07,IESC,"Ies Holdings, Inc.",Gendell Jeffrey L Et Al,"CEO, 10%",S - Sale,$55.26,"-14,398","11,585,263",0%,"-$795,582",#N/A,#N/A
,2021-06-09 17:19:13,2021-06-08,AMC,"Amc Entertainment Holdings, Inc.",Saich Anthony J,Dir,S - Sale,$54.59,"-15,379","17,722",-46%,"-$839,524",#N/A,#N/A
D,2021-06-09 17:18:30,2021-06-07,ASAN,"Asana, Inc.",Lacey Eleanor B,"GC, Corporate Secretary",S - Sale+OE,$40.07,"-20,000","129,359",-13%,"-$801,307",#N/A,#N/A
,2021-06-09 17:17:19,2021-06-07,SYNH,"Syneos Health, Inc.","Thomas H. Lee Advisors, LLC",Dir,S - Sale,$81.20,"-5,044,187",0,-100%,"-$409,587,984",#N/A,#N/A
,2021-06-09 17:16:46,2021-06-08,OPEN,Opendoor Technologies Inc.,Stevens Elizabeth Ann,Head of Legal,S - Sale,$17.79,"-75,000","589,058",-11%,"-$1,334,370",#N/A,#N/A
DM,2021-06-09 17:16:38,2021-06-07,FNKO,"Funko, Inc.",Mariotti Brian Richard,CEO,S - Sale+OE,$23.86,"-205,347","1,789,465",-10%,"-$4,898,702",#N/A,#N/A
,2021-06-09 17:16:28,2021-06-08,PLYA,Playa Hotels & Resorts N.V.,Peterson Karl Mr.,Dir,S - Sale,$7.44,"-45,000","3,559,033",-1%,"-$334,800",#N/A,#N/A
D,2021-06-09 17:16:17,2021-06-07,GNLN,"Greenlane Holdings, Inc.",Mote William E. Jr,CFO,S - Sale+OE,$3.94,"-21,650","27,956",-44%,"-$85,301",#N/A,#N/A
M,2021-06-09 17:16:00,2021-06-07,ASAN,"Asana, Inc.",Moskovitz Dustin A.,"Pres, CEO, Chair, 10%",P - Purchase,$39.49,#ERROR!,"5,447,046",10%,#ERROR!,500000,19743586
,2021-06-09 17:15:57,2021-06-07,RES,Rpc Inc,Rollins Gary W,"Dir, 10%",S - Sale,$6.05,"-34,000","123,497,203",0%,"-$205,850",#N/A,#N/A
,2021-06-09 17:14:57,2021-06-07,GM,General Motors Co,Tsien Matthew,EVP,S - Sale,$63.95,"-16,989","82,768",-17%,"-$1,086,447",#N/A,#N/A
D,2021-06-09 17:14:41,2021-06-07,GM,General Motors Co,Mott Randall D,"EVP, CIO",S - Sale+OE,$64.00,"-99,000","116,113",-46%,"-$6,336,000",#N/A,#N/A
,2021-06-09 17:14:25,2021-06-07,FCX,Freeport-McMoran Inc,Ford Gerald J,Dir,S - Sale,$40.99,"-18,200",0,-100%,"-$745,945",#N/A,#N/A
D,2021-06-09 17:10:50,2021-06-08,HGEN,"Humanigen, Inc",Jordan Edward P.,Chief Commercial Officer,S - Sale+OE,$20.08,"-14,700",0,-100%,"-$295,176",#N/A,#N/A
,2021-06-09 17:09:46,2021-06-07,QRTEA,"Qurate Retail, Inc.",George Michael A,"Pres, CEO",S - Sale,$13.25,"-100,000","2,562,929",-4%,"-$1,325,230",#N/A,#N/A
,2021-06-09 17:08:08,2019-04-15,CTAS,Cintas Corp,Thompson Michael Lawrence,"EVP, CAO",S - Sale,$207.98,"-2,500","71,315",-3%,"-$519,950",#N/A,#N/A
,2021-06-09 17:07:28,2021-06-07,EVER,"Everquote, Inc.",Mason David W,"GC, Secretary",S - Sale,$32.12,"-2,000","112,820",-2%,"-$64,240",#N/A,#N/A
,2021-06-09 17:06:50,2021-06-07,RES,Rpc Inc,Lor Inc,10%,S - Sale,$6.05,"-34,000","107,710,309",0%,"-$205,850",#N/A,#N/A
M,2021-06-09 17:06:18,2021-06-07,CSLT,"Castlight Health, Inc.",Cohen Seth B.,Dir,S - Sale,$2.11,"-70,000","228,222",-23%,"-$147,912",#N/A,#N/A
,2021-06-09 17:05:01,2021-06-07,AVAV,Aerovironment Inc,Conver Timothy E,Chairman of the Board,S - Sale,$112.22,"-7,400","317,922",-2%,"-$830,399",#N/A,#N/A
DM,2021-06-09 17:04:19,2021-06-07,AMRC,"Ameresco, Inc.",Murley Thomas S,Dir,S - Sale+OE,$57.59,"-14,000","10,500",-57%,"-$806,233",#N/A,#N/A
D,2021-06-09 17:04:07,2021-06-09,PEGA,Pegasystems Inc,Stillwell Kenneth,"COO, CFO",S - Sale+OE,$129.06,-992,"8,127",-11%,"-$128,028",#N/A,#N/A
M,2021-06-09 17:04:04,2021-06-07,PANL,Pangaea Logistics Solutions Ltd.,"Pangaea One Acquisition Holdings Xiv, LLC",10%,S - Sale,$4.09,"-172,106","6,616,636",-3%,"-$703,496",#N/A,#N/A
,2021-06-09 17:02:22,2021-05-21,EVER,"Everquote, Inc.",Blundin David B,"Dir, 10%",P - Purchase,$28.77,100,100,New,#ERROR!,100,2877
,2021-06-09 17:01:02,2021-06-07,CMBM,Cambium Networks Corp,Slusky Alexander R,"Dir, 10%",S - Sale,$46.08,"-2,000,000","14,509,754",-12%,"-$92,160,000",#N/A,#N/A
DM,2021-06-09 17:00:43,2021-06-07,NCNO,"Ncino, Inc.",Orenstein Gregory,"Chief Corp Dev, Legal Officer",S - Sale+OE,$63.47,"-26,500","27,266",-49%,"-$1,681,836",#N/A,#N/A
,2021-06-09 17:00:39,2021-06-07,CWK,Cushman & Wakefield Plc,"Tpg Asia Advisors Vi, Inc.",10%,S - Sale,$18.56,"-3,441,387","44,268,542",-7%,"-$63,872,143",#N/A,#N/A
,2021-06-09 17:00:24,2021-06-07,RPAY,Repay Holdings Corp,Kirk Jason,CTO,S - Sale,$25.00,"-6,580","182,228",-3%,"-$164,500",#N/A,#N/A
D,2021-06-09 17:00:24,2021-06-08,RPAY,Repay Holdings Corp,Murphy Timothy John,CFO,S - Sale+OE,$25.00,"-25,267","374,904",-6%,"-$631,675",#N/A,#N/A
D,2021-06-09 17:00:22,2021-06-07,SDGR,"Schrodinger, Inc.",Kapeller-Libermann Rosana,Dir,S - Sale+OE,$75.00,"-1,000",0,-100%,"-$75,000",#N/A,#N/A
DM,2021-06-09 17:00:18,2021-06-07,SDGR,"Schrodinger, Inc.",Akinsanya Karen,See Remarks,S - Sale+OE,$75.37,"-16,721",0,-100%,"-$1,260,206",#N/A,#N/A
M,2021-06-09 17:00:14,2021-06-08,AIZ,"Assurant, Inc.",Lonergan Robert,EVP,S - Sale,$163.26,"-2,700","15,249",-15%,"-$440,809",#N/A,#N/A
,2021-06-09 17:00:10,2021-06-07,CWK,Cushman & Wakefield Plc,Ontario Teachers Pension Plan Board,10%,S - Sale,$18.56,"-3,489,329","11,145,496",-24%,"-$64,761,946",#N/A,#N/A
,2021-06-09 16:59:52,2021-06-07,CWK,Cushman & Wakefield Plc,Pagac Drone Holding Gp I Ltd,10%,S - Sale,$18.56,"-3,069,284","39,481,953",-7%,"-$56,965,911",#N/A,#N/A
M,2021-06-09 16:58:16,2021-06-07,SYY,Sysco Corp,Frank Joshua D.,Dir,S - Sale,$79.89,"-1,450,000","17,870,884",-8%,"-$115,844,965",#N/A,#N/A
M,2021-06-09 16:57:25,2021-06-07,SYY,Sysco Corp,Peltz Nelson,Dir,S - Sale,$79.89,"-1,450,000","17,870,884",-8%,"-$115,844,965",#N/A,#N/A
,2021-06-09 16:55:49,2021-06-07,IDCC,"Interdigital, Inc.",Rankin Jean F,Dir,S - Sale,$83.24,"-1,086","26,328",-4%,"-$90,399",#N/A,#N/A
,2021-06-09 16:55:18,2021-06-08,OSH,"Oak Street Health, Inc.",Price Geoffrey M,COO,S - Sale,$58.91,"-25,000","6,679,400",0%,"-$1,472,725",#N/A,#N/A
,2021-06-09 16:55:16,2021-06-07,CMBM,Cambium Networks Corp,Amen Robert S,"Dir, 10%",S - Sale,$46.08,"-2,000,000","14,509,754",-12%,"-$92,160,000",#N/A,#N/A
D,2021-06-09 16:54:48,2021-06-08,EL,Estee Lauder Companies Inc,Zinterhofer Aerin Lauder Trust U/A/D 4/24/00,10%,S - Sale+OE,$301.46,"-170,000","506,692",-25%,"-$51,248,554",#N/A,#N/A
,2021-06-09 16:54:40,2021-06-07,IDCC,"Interdigital, Inc.",Markley John D. Jr.,Dir,S - Sale,$83.24,-800,"12,086",-6%,"-$66,592",#N/A,#N/A
